date,commits
'2018-01-01 00:00:00',1
'2018-01-01 00:00:00',2
'2018-01-01 00:00:00',3
'2018-01-01 00:00:00',4
'2018-01-01 00:00:00',5
'2018-01-01 00:00:00',6
'2018-01-01 00:00:00',7
'2018-01-01 00:00:00',7
'2018-01-01 00:00:00',8
'2018-01-01 00:00:00',9
'2018-01-01 00:00:00',10
'2018-01-01 00:00:00',11
'2018-01-01 00:00:00',12
'2018-01-01 00:00:00',13
'2018-01-01 00:00:00',14
'2018-01-01 00:00:00',15
'2018-01-01 00:00:00',15
'2018-01-01 00:00:00',16
'2018-01-01 00:00:00',17
'2018-01-01 00:00:00',17
'2018-01-01 00:00:00',17
'2018-01-01 00:00:00',18
'2018-01-01 00:00:00',19
'2018-01-01 00:00:00',20
'2018-01-01 00:00:00',20
'2018-01-01 00:00:00',21
'2018-01-01 00:00:00',22
'2018-01-01 00:00:00',23
'2018-01-01 00:00:00',24
'2018-01-01 00:00:00',25
'2018-01-01 00:00:00',26
'2018-01-01 00:00:00',26
'2018-01-01 00:00:00',26
'2018-01-01 00:00:00',26
'2018-01-01 00:00:00',27
'2018-01-01 00:00:00',28
'2018-01-01 00:00:00',28
'2018-01-01 00:00:00',29
'2018-01-01 00:00:00',30
'2018-01-01 00:00:00',31
'2018-01-01 00:00:00',32
'2018-01-01 00:00:00',33
'2018-01-01 00:00:00',34
'2018-01-01 00:00:00',35
'2018-01-01 00:00:00',35
'2018-01-01 00:00:00',36
'2018-01-01 00:00:00',37
'2018-01-01 00:00:00',38
'2018-01-01 00:00:00',39
'2018-01-01 00:00:00',39
'2018-01-01 00:00:00',40
'2018-01-01 00:00:00',40
'2018-01-01 00:00:00',41
'2018-01-01 00:00:00',42
'2018-01-01 00:00:00',43
'2018-01-01 00:00:00',44
'2018-01-01 00:00:00',45
'2018-01-01 00:00:00',46
'2018-01-01 00:00:00',47
'2018-01-01 00:00:00',48
'2018-01-01 00:00:00',49
'2018-01-01 00:00:00',50
'2018-01-01 00:00:00',51
'2018-01-01 00:00:00',51
'2018-01-01 00:00:00',52
'2018-01-01 00:00:00',53
'2018-01-01 00:00:00',54
'2018-01-01 00:00:00',55
'2018-01-01 00:00:00',56
'2018-01-01 00:00:00',57
'2018-01-01 00:00:00',58
'2018-01-01 00:00:00',58
'2018-01-01 00:00:00',59
'2018-01-01 00:00:00',60
'2018-01-01 00:00:00',60
'2018-01-01 00:00:00',61
'2018-01-01 00:00:00',61
'2018-01-01 00:00:00',62
'2018-01-01 00:00:00',63
'2018-01-01 00:00:00',64
'2018-01-01 00:00:00',65
'2018-01-01 00:00:00',66
'2018-01-01 00:00:00',67
'2018-01-01 00:00:00',68
'2018-01-01 00:00:00',69
'2018-01-01 00:00:00',70
'2018-01-01 00:00:00',71
'2018-01-01 00:00:00',72
'2018-01-01 00:00:00',73
'2018-01-01 00:00:00',74
'2018-01-01 00:00:00',74
'2018-01-01 00:00:00',74
'2018-01-01 00:00:00',74
'2018-01-01 00:00:00',74
'2018-01-01 00:00:00',74
'2018-01-01 00:00:00',74
'2018-01-01 00:00:00',74
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',75
'2018-01-01 00:00:00',76
'2018-01-01 00:00:00',76
'2018-01-01 00:00:00',76
'2018-01-01 00:00:00',76
'2018-01-01 00:00:00',76
'2018-01-01 00:00:00',76
'2018-01-01 00:00:00',76
'2018-01-01 00:00:00',76
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',77
'2018-01-01 00:00:00',78
'2018-01-01 00:00:00',78
'2018-01-01 00:00:00',78
'2018-01-01 00:00:00',79
'2018-01-01 00:00:00',79
'2018-01-01 00:00:00',79
'2018-01-01 00:00:00',79
'2018-01-01 00:00:00',79
'2018-01-01 00:00:00',79
